year,metarea,age,wage,edcode
1978,80,28,8.9316912,4
1984,80,27,6.0424399,1
1977,80,30,15.264999,2
1980,80,26,6.1538463,2
1980,80,59,8.5714283,1
1977,80,25,2.9927266,3
1980,80,34,7.692307,3
1979,80,30,9.2370424,2
1982,80,26,10.460103,4
1977,80,27,2.7456207,4
1980,80,48,11.538461,3
1977,80,34,7.8446302,1
1977,80,54,20.919014,2
1983,80,49,11.932345,3
1984,80,32,9.9133787,2
1983,80,31,7.6436191,3
1979,80,56,19.098326,3
1980,80,32,5.6818185,3
1976,80,59,9.0697641,3
1977,80,29,8.1351719,2
1980,80,29,7.2527475,4
1980,80,47,14.423077,4
1978,80,28,7.6380591,3
1978,80,35,34.467377,4
1977,80,32,7.2235975,2
1977,80,33,9.4625854,2
1977,80,58,10.848957,1
1977,80,51,10.982483,1
1977,80,59,17.796852,3
1977,80,39,10.19802,2
1982,80,36,3.2344167,2
1977,80,30,8.2264032,2
1977,80,31,8.5969524,1
1977,80,51,12.159831,4
1977,80,32,16.9967,4
1977,80,54,9.9218225,2
1977,80,26,9.936533,3
1978,80,33,7.8216348,2
1978,80,25,10.025367,4
1976,80,49,8.3547373,1
1976,80,45,9.5660486,2
1984,80,35,7.795136,4
1980,80,25,10.256409,2
1984,80,29,19.064188,2
1977,80,43,13.364635,1
1979,80,33,5.4506621,3
1981,80,40,17.43251,4
1976,80,27,7.3832569,4
1979,80,31,9.8321829,2
1979,80,25,8.7306643,2
1981,80,25,7.6485152,2
1983,80,46,11.209171,2
1983,80,42,14.142038,4
1983,80,45,21.478222,2
1976,80,39,17.405703,4
1976,80,35,14.849881,3
1976,80,34,12.872485,2
1976,80,30,7.6585097,4
1976,80,54,12.313086,1
1976,80,53,9.8877373,2
1976,80,28,9.505022,2
1984,80,49,12.391724,1
1982,80,39,13.54723,4
1976,80,46,4.5909286,2
1978,80,36,12.78849,1
1977,80,40,12.028433,3
1984,80,32,7.889524,3
1984,80,41,10.675945,2
1978,80,31,6.0759797,2
1979,80,38,13.052342,1
1978,80,29,12.759558,4
1978,80,26,10.329165,1
1976,80,39,14.666146,2
1976,80,38,13.222282,2
1978,80,36,10.499292,3
1976,80,59,7.1344967,2
1976,80,37,21.69301,2
1984,80,52,8.8457842,1
1976,80,30,7.008697,4
1981,80,33,7.9899011,4
1977,80,26,6.5371919,3
1980,80,29,11.057692,4
1980,80,58,19.230768,3
1980,80,34,7.692307,2
1981,80,46,10.023694,2
1981,80,35,17.43251,3
1980,80,52,11.805555,2
1981,80,56,13.946009,2
1980,80,43,16.836735,3
1981,80,55,5.142591,2
1982,80,46,5.5502596,4
1981,80,38,13.074384,4
1981,80,47,8.7162552,2
1982,80,31,3.5827386,2
1980,80,57,8.6538458,3
1981,80,26,6.6592197,4
1981,80,42,5.3281503,2
1980,80,34,5.4807692,4
1981,80,33,10.89532,4
1984,80,30,7.1057434,3
1981,80,38,9.7930965,1
1981,80,30,1.8732978,3
1981,80,51,4.5638313,3
1980,80,33,10.096153,2
1981,80,50,12.009065,2
1981,80,49,10.791555,1
1976,80,48,9.0509663,2
1981,80,38,9.5878811,3
1977,80,44,9.936533,2
1980,80,49,11.017629,4
1981,80,40,8.4983501,2
1980,80,28,13.3547,4
1980,80,54,10.576922,2
1982,80,27,9.5503855,2
